date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2011-08-30,120.83,122.43,119.26,121.68,241315703,96.6651,0.26,403815960.95
2011-08-31,122.46,123.51,121.3,122.22,301828281,97.0941,0.44,400355904.7
2011-09-01,122.29,123.4,120.78,120.94,254585797,96.0772,-1.05,387049105.5
2011-09-02,118.42,120.8726,117.43,117.85,255517203,93.6224,-2.56,367046884.4
2011-09-06,114.39,117.16,114.38,116.99,285142688,92.9392,-0.73,346190828.2
2011-09-07,118.76,120.34,118.36,120.29,209803109,95.5608,2.82,320789552.4
2011-09-08,119.57,120.94,118.77,119.04,250568188,94.5678,-1.04,300187589.9
2011-09-09,117.68,119.057,115.28,115.92,380195094,92.0892,-2.62,294798358.65
2011-09-12,114.47,116.76,114.05,116.67,305793406,92.685,0.65,294401449.25
2011-09-13,117.05,118.18,116.22,117.74,272514688,93.5351,0.92,295086653.95
2011-09-14,118.34,120.8,116.72,119.37,319389406,94.83,1.38,296351364.85
2011-09-15,120.65,121.47,119.4034,121.43,326777094,96.4665,1.73,300780164.1
2011-09-16,121.29,121.97,120.32,121.521,284528188,97.0382,0.59,289358764.1
2011-09-19,119.53,120.93,118.72,120.31,241516891,96.0712,-1.0,280020547.7
2011-09-20,120.82,121.99,120.01,120.17,218932094,95.9594,-0.12,277212622.7
2011-09-21,120.23,120.6,116.44,116.63,316251188,93.1326,-2.95,276468352.4
2011-09-22,113.25,114.21,111.3,112.86,513920094,90.1221,-3.23,289820871.95
2011-09-23,112.11,114.16,112.02,113.54,307242500,90.6651,0.6,289564731.35
2011-09-26,114.61,116.4,112.98,116.24,260673594,92.8211,2.38,286873620.45
2011-09-27,118.53,119.56,116.84,117.54,311753781,93.8592,1.12,292912449.35
2011-09-28,117.78,118.49,114.97,115.145,286696719,91.9467,-2.04,295181500.15
2011-09-29,117.05,117.63,113.93,116.05,298108812,92.6694,0.79,294995526.7
2011-09-30,114.45,115.45,113.07,113.15,288685500,90.3537,-2.5,296700511.85
2011-10-03,112.49,113.95,109.81,109.93,365136812,87.7824,-2.85,302181492.3
2011-10-04,108.35,112.58,107.43,112.34,459177500,89.7069,2.19,310883232.9
2011-10-05,112.62,114.72,111.58,114.42,284108000,91.3678,1.85,314598477.45
2011-10-06,114.36,116.66,113.51,116.49,257800703,93.0208,1.81,314960103.2
2011-10-07,117.17,117.245,115.06,115.71,312657875,92.3979,-0.67,311583242.25
2011-10-10,117.68,119.63,117.67,119.58,230666203,95.4882,3.34,307826882.1
2011-10-11,118.87,120.04,118.75,119.7,209088000,95.584,0.1,304655547.7
2011-10-12,120.6,122.14,120.33,120.75,281544812,96.4225,0.88,302763318.0
2011-10-13,120.04,120.87,119.12,120.51,212538797,96.2309,-0.2,297051403.15
2011-10-14,121.91,122.6,121.23,122.57,211397594,97.8758,1.71,293394873.45
2011-10-17,121.99,122.5492,119.93,120.23,202311594,96.0073,-1.91,291434608.6
2011-10-18,120.14,123.5,119.2,122.58,318857875,97.8838,1.95,296430897.65
2011-10-19,122.38,123.08,120.71,121.13,226601297,96.7259,-1.18,291948403.1
2011-10-20,121.43,122.1,119.82,121.66,262075594,97.1492,0.44,279356178.1
