date,splg,spy,open,high,low,close,volume,change_percent,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,LT COMPOSITE (>10 Yrs),LT Real Average (10> Yrs),ema_20,ema_50,rsi_14,macd,signal_line,macd_value,plus_di,minus_di,adx
2020-02-11,37.08403,316.0881,3365.8701,3375.6299,3352.72,3357.75,3760550000,0.17,1.54,1.57,1.55,1.58,1.97,0.29,3299.1690956839448,3241.4698504703606,55.0290539623078,27.056220168500204,23.10390752968886,3.9523126388113425,30.48428625875234,31.69833266374932,121.67413734519194
2020-02-12,37.328552,318.1246,3370.5,3381.47,3369.72,3379.45,3926380000,0.65,1.54,1.57,1.56,1.59,2.01,0.32,3306.8148960949975,3246.880836726425,57.17212187844402,30.20358754077006,24.5238435319051,5.679744008864958,32.05289150214493,32.96654421479013,119.1203870652372
2020-02-13,37.290936,317.7852,3365.8999,3385.0901,3360.52,3373.9399,3498240000,-0.16,1.56,1.59,1.56,1.59,1.99,0.29,3313.2077536097595,3251.8635450900947,61.16944700420161,31.885721094078235,25.99621904433973,5.889502049738507,33.21744730159381,33.44374132208902,118.11849218894953
2020-02-14,37.347363,318.2943,3378.0801,3380.6899,3366.1499,3380.1599,3398040000,0.18,1.57,1.6,1.57,1.6,1.97,0.27,3319.5841485040683,3256.894774694405,72.33435476240486,33.33644429289188,27.46426409405016,5.872180198841722,37.689987045674215,34.13816197871806,125.3993625152965
2020-02-18,37.253323,317.474,3369.04,3375.01,3355.6101,3370.29,3746720000,-0.29,1.58,1.61,1.57,1.6,1.93,0.23,3324.4132772179664,3261.3416462750165,66.62189388851577,33.30580583848132,28.632572442936393,4.673233395544926,36.89201215551521,33.04757771433963,124.96432960941814
2020-02-19,37.422611,318.992,3380.3899,3393.52,3378.8301,3386.1499,3600150000,0.47,1.58,1.61,1.58,1.61,1.93,0.24,3330.29295557816,3266.236087597565,69.05012607719799,34.16742521649621,29.739542997648357,4.427882218847856,36.88420607830934,32.299049241610376,126.20428510197738
2020-02-20,37.272121,317.6815,3380.45,3389.1499,3341.02,3373.23,4007320000,-0.38,1.58,1.61,1.57,1.6,1.89,0.21,3334.3821979040495,3270.4319272996217,64.99885963916367,33.42246347315813,30.476127092750314,2.9463363804078178,34.336678875033776,29.93051461595832,125.68499680170763
2020-02-21,36.89592,314.4099,3360.5,3360.76,3328.45,3337.75,3899270000,-1.05,1.57,1.6,1.57,1.6,1.83,0.17,3334.7029409608067,3273.0718517192445,70.33669433312383,29.627607822700156,30.306423238740283,-0.678815416040127,32.306144257041844,27.692043312222253,128.3128832470704
2020-02-24,35.654453,303.9824,3257.6101,3259.8101,3214.6499,3225.8899,4842960000,-3.35,1.57,1.6,1.56,1.59,1.76,0.13,3324.3397942026345,3271.2215791028034,46.839924256977454,17.39348094188381,27.72383477936899,-10.33035383748518,29.032892168376723,25.517620397696405,120.28957867047087
2020-02-25,34.591682,294.7711,3238.9399,3246.99,3118.77,3128.21,5591510000,-3.03,1.56,1.59,1.55,1.58,1.71,0.13,3305.660766183336,3265.6132818830856,29.513761137223895,-0.18200628316481016,22.14266656686223,-22.32467285002704,25.86895785357481,24.28467998846697,108.59696276159212
2020-02-26,34.450615,293.6868,3139.8999,3182.51,3108.99,3116.3899,5478110000,-0.38,1.56,1.59,1.54,1.57,1.73,0.14,3287.634969403971,3259.7613845543374,21.877254457384367,-14.892814721215927,14.735570309246599,-29.628385030462525,23.255814563828245,24.956895463552538,96.96822584141948
2020-02-27,32.917595,280.4968,3062.54,3097.0701,2977.3899,2978.76,7058840000,-4.42,1.54,1.56,1.5,1.52,1.7,0.12,3258.218305651212,3248.7417224149517,14.34343618833256,-37.22768156332131,4.3429199347330165,-41.57060149805433,20.526124591837167,24.599160720690378,85.70513975169064
